depth,frame,x,y,weight,height,label
1, 0, 0, 0, 128, 128, 1 
2, 0, 0, 0, 64, 64, 1 
3, 0, 0, 0, 32, 32, 2 
4, 0, 0, 0, 32, 16, 0 
4, 0, 0, 16, 32, 16, 0 
3, 0, 32, 0, 32, 32, 4 
4, 0, 32, 0, 32, 8, 0 
4, 0, 32, 8, 32, 16, 3 
5, 0, 32, 8, 16, 16, 0 
5, 0, 48, 8, 16, 16, 0 
4, 0, 32, 16, 32, 8, 5 
5, 0, 32, 16, 8, 8, 0 
5, 0, 40, 16, 16, 8, 0 
5, 0, 48, 16, 8, 8, 0 
3, 0, 0, 32, 32, 32, 0 
3, 0, 32, 32, 32, 32, 5 
4, 0, 32, 32, 8, 32, 0 
4, 0, 40, 32, 16, 32, 2 
5, 0, 40, 32, 16, 16, 0 
5, 0, 40, 48, 16, 16, 3 
6, 0, 40, 48, 8, 16, 0 
6, 0, 48, 48, 8, 16, 0 
4, 0, 48, 32, 8, 32, 4 
5, 0, 48, 32, 8, 8, 0 
5, 0, 48, 40, 8, 16, 4 
6, 0, 48, 40, 8, 4, 0 
6, 0, 48, 44, 8, 8, 0 
6, 0, 48, 48, 8, 4, 0 
5, 0, 48, 48, 8, 8, 2 
6, 0, 48, 48, 8, 4, 0 
6, 0, 48, 52, 8, 4, 0 
2, 0, 64, 0, 64, 64, 1 
3, 0, 64, 0, 32, 32, 0 
3, 0, 96, 0, 32, 32, 3 
4, 0, 96, 0, 16, 32, 4 
5, 0, 96, 0, 16, 8, 3 
6, 0, 96, 0, 8, 8, 0 
6, 0, 104, 0, 8, 8, 0 
5, 0, 96, 8, 16, 16, 0 
5, 0, 96, 16, 16, 8, 5 
6, 0, 96, 16, 4, 8, 0 
6, 0, 100, 16, 8, 8, 0 
6, 0, 104, 16, 4, 8, 0 
4, 0, 112, 0, 16, 32, 2 
5, 0, 112, 0, 16, 16, 0 
5, 0, 112, 16, 16, 16, 5 
6, 0, 112, 16, 4, 16, 0 
6, 0, 116, 16, 8, 16, 0 
6, 0, 120, 16, 4, 16, 0 
3, 0, 64, 32, 32, 32, 1 
4, 0, 64, 32, 16, 16, 2 
5, 0, 64, 32, 16, 8, 0 
5, 0, 64, 40, 16, 8, 3 
6, 0, 64, 40, 8, 8, 3 
7, 0, 64, 40, 4, 8, 0 
7, 0, 68, 40, 4, 8, 0 
6, 0, 72, 40, 8, 8, 0 
4, 0, 80, 32, 16, 16, 0 
4, 0, 64, 48, 16, 16, 3 
5, 0, 64, 48, 8, 16, 0 
5, 0, 72, 48, 8, 16, 0 
4, 0, 80, 48, 16, 16, 0 
3, 0, 96, 32, 32, 32, 1 
4, 0, 96, 32, 16, 16, 0 
4, 0, 112, 32, 16, 16, 4 
5, 0, 112, 32, 16, 4, 5 
